row_id,source_dataset,npdes_id,registry_id,facility_name,city,state,county,permit_status,permit_type,facility_type,total_design_flow,actual_average_flow,current_snc_status,current_violation,inspections,pct_low_income_3mi,pct_people_of_color,population_density,tribal_spatial_flag,derived_tribes,latitude,longitude,has_tribal_context,has_current_violation
10141,EPA ECHO CWA/NPDES facility locations,AKR10H0FT,110071657228,CVTC NELCHINA TO GLENNALLEN FTTH,GLENNALLEN,AK,Unknown county,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,33.33,33.33,0.11,N,"Native Village of Tazlina - 7 mile(s), Native Village of Kluti Kaah (aka Copper Center) - 13 mile(s), Gulkana Village Council - 13 mile(s), Native Village of Gakona - 16 mile(s)",62.1076500001276,-145.528560000194,TRUE,FALSE
10142,EPA ECHO CWA/NPDES facility locations,AKR06AF84,110070504015,ANARRAAQ AND AKTIGIRUQ EXPLORATION ACCESS ROAD,KIVALINA,AK,Northwest Arctic,Expired,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,54.55,100,0.46,NA,NA,68.08490000009711,-162.887700000112,FALSE,FALSE
10143,EPA ECHO CWA/NPDES facility locations,AKG370356,110008998371,POLAR MINING GOLDSTREAM CREEK MINE SITE,FAIRBANKS,AK,Fairbanks North Star,Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,20.459999999999997,19.08,101.1,NA,NA,64.94309999982812,-147.73300000033498,FALSE,FALSE
10144,EPA ECHO CWA/NPDES facility locations,AKR10H0VH,110071961601,CAMP CARROLL FOC INSTALLATION,JBER,AK,Anchorage Municipality,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,27.88,42.730000000000004,99.66,N,"Knik Tribe - 14 mile(s), Eklutna Native Village - 17 mile(s)",61.26899999993041,-149.678000000399,TRUE,FALSE
10145,EPA ECHO CWA/NPDES facility locations,AKR06AD80,110043492985,"WEST GLACIER DEVELOPMENT, LLC",JUNEAU,AK,Juneau City and Borough,Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,17.75,46.690000000000005,550.9499999999999,N,"Central Council of the Tlingit & Haida Indian Tribes - 11 mile(s), Douglas Indian Association - 13 mile(s)",58.4099200000851,-134.60026999966598,TRUE,FALSE
10146,EPA ECHO CWA/NPDES facility locations,AKR10H0W4,110071960920,DNR MILEPOST 111,TRAPPER CREEK,AK,Matanuska-Susitna,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,0,0,0.07,NA,NA,62.5526509998159,-150.242325000022,FALSE,FALSE
10147,EPA ECHO CWA/NPDES facility locations,AKG523109,110001717777,KODIAK FISHMEAL COMPANY,KODIAK,AK,Kodiak Island,Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,28.52,62.190000000000005,232.59,N,"Sun'aq Tribe of Kodiak - 2 mile(s), Tangirnaq Native Village - 8 mile(s), Native Village of Ouzinkie - 11 mile(s), Native Village of Port Lions - 18 mile(s), Native Village of Afognak - 21 mile(s)",57.779759999827405,-152.445600000224,TRUE,FALSE
10148,EPA ECHO CWA/NPDES facility locations,AKR06H02D,110071904150,"PACIFIC SEAFOOD - SEWARD, LLC SEWARD PLANT",SEWARD,AK,Kenai Peninsula,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,18.67,28.07,92.32,NA,NA,60.09636399996501,-149.445401999676,FALSE,FALSE
10149,EPA ECHO CWA/NPDES facility locations,AKG521063,110071710446,E.C. PHILLIPS & SON PETERSBURG FISHERIES,PETERSBURG,AK,Petersburg Census Area,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,4,22.49,41.43,134.87,N,Petersburg Indian Association - 3 mile(s),56.81420000003119,-132.96200000040201,TRUE,FALSE
10150,EPA ECHO CWA/NPDES facility locations,AKG332027,110070072418,CONOCOPHILLIPS - GREATER MOOSES TOOTH UNIT,ANCHORAGE,AK,North Slope,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,NA,NA,0,N,Native Village of Nuiqsut (aka Nooiksut) - 9 mile(s),70.3136000000139,-151.22468199986793,TRUE,FALSE
10151,EPA ECHO CWA/NPDES facility locations,AKR10H0QS,110071899559,KINCAID-JODHPUR PARK SLOPE IMPROVEMENTS,ANCHORAGE,AK,Anchorage Municipality,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,14.129999999999999,40.02,2414.5,N,Knik Tribe - 24 mile(s),61.151639999907594,-150.01179000011197,TRUE,FALSE
10152,EPA ECHO CWA/NPDES facility locations,AKR10CJ19,110071298803,SEARHC MT EDGECUMBE MEDICAL CENTER CAMPUS,SITKA,AK,Sitka City and Borough,Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,19.56,40.58,519.7,N,Sitka Tribe of Alaska - 3 mile(s),57.053192000133805,-135.356567000309,TRUE,FALSE
10153,EPA ECHO CWA/NPDES facility locations,AKR10H0E5,110071505079,BRI ESTATES,ANCHORAGE,AK,Anchorage Municipality,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,8.55,21.650000000000002,344.42999999999995,NA,NA,61.063027999912194,-149.75456199991297,FALSE,FALSE
10154,EPA ECHO CWA/NPDES facility locations,AKG521007,110070836759,SILVER BAY SEAFOODS - WOOD RIVER,DILLINGHAM,AK,Dillingham (CA),Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,24.84,76.83,6.25,N,"Curyung Tribal Council - 2 mile(s), Village of Clarks Point - 16 mile(s), Native Village of Aleknagik - 16 mile(s), Native Village of Ekuk - 19 mile(s), Manokotak Village - 23 mile(s)",59.067620000103396,-158.44357000028398,TRUE,FALSE
10155,EPA ECHO CWA/NPDES facility locations,AKG002370,110071823812,42ND AVE UPGRADES - PHASE 1 LAKE OTIS PARKWAY TO PIPER STREET,ANCHORAGE,AK,Anchorage Municipality,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,25.55,54.83,3507.64,N,"Knik Tribe - 20 mile(s), Eklutna Native Village - 25 mile(s)",61.182610000049806,-149.83074000018502,TRUE,FALSE
