row_id,source_dataset,pws_id,system_name,facility_id,source_type_code,source_type,federal_type_code,federal_type,activity_status,population_served,comment,longitude,latitude
37,ADEC SDWIS active PWS source locations,AK2121463   ,SILVERKING LODGE,30116,IN,Intake,NC  ,NC  ,NA,46,NA,-131.720741830212,55.54410463079039
38,ADEC SDWIS active PWS source locations,AK2110342   ,CITY AND BOROUGH OF JUNEAU,30134,IN,Intake,C   ,C   ,NA,38526,NA,-134.403822509686,58.341855212526
39,ADEC SDWIS active PWS source locations,AK2120224   ,HYDABURG,30137,IN,Intake,C   ,C   ,NA,415,NA,-132.80747881344703,55.224294477164996
40,ADEC SDWIS active PWS source locations,AK2130122   ,PELICAN UTILITIES,30151,IN,Intake,C   ,C   ,NA,230,NA,-136.21529647711,57.958172944014606
41,ADEC SDWIS active PWS source locations,AK2120020   ,CLOVER PASS RESORT,30196,IN,Intake,NC  ,NC  ,NA,133,NA,-131.814607809738,55.4727946175179
42,ADEC SDWIS active PWS source locations,AK2130148   ,PETERSBURG,30213,IN,Intake,C   ,C   ,NA,3218,NA,-132.827419521167,56.7603044660762
43,ADEC SDWIS active PWS source locations,AK2121034   ,CLOVER BAY LODGE,30243,IN,Intake,NC  ,NC  ,NA,59,NA,-132.15507777487997,55.30341956944109
44,ADEC SDWIS active PWS source locations,AK2120169   ,KLAWOCK,30265,IN,Intake,C   ,C   ,NA,904,NA,-133.02144398212204,55.55499244531289
45,ADEC SDWIS active PWS source locations,AK2120216   ,"THORNE BAY, CITY OF",30296,IN,Intake,C   ,C   ,NA,470,NA,-132.51281898743406,55.69273451746991
46,ADEC SDWIS active PWS source locations,AK2130017   ,ANGOON PUBLIC WATER,30309,IN,Intake,C   ,C   ,NA,450,NA,-134.522053051688,57.458591207749194
47,ADEC SDWIS active PWS source locations,AK2120143   ,WRANGELL,30325,IN,Intake,C   ,C   ,NA,2300,NA,-132.370041322918,56.455362534713196
48,ADEC SDWIS active PWS source locations,AK2121093   ,SPORTSMANS COVE LODGE,30384,IN,Intake,NC  ,NC  ,NA,55,NA,-132.33094883689003,55.399594544294594
49,ADEC SDWIS active PWS source locations,AK2120127   ,SAXMAN,30392,IN,Intake,C   ,C   ,NA,450,NA,-131.595398718711,55.323514648649805
50,ADEC SDWIS active PWS source locations,AK2121474   ,GEORGE INLET LODGE,30401,IN,Intake,NC  ,NC  ,NA,49,NA,-131.47598472365195,55.367295665549996
51,ADEC SDWIS active PWS source locations,AK2113560   ,HECLA GREENS CREEK HAWK INLET,30412,IN,Intake,NTNC,Non-transient non-community,NA,151,NA,-134.746450424633,58.121624163981
52,ADEC SDWIS active PWS source locations,AK2130067   ,HOONAH PWS,30455,IN,Intake,C   ,C   ,NA,980,NA,-135.39476045760603,58.0641540665916
53,ADEC SDWIS active PWS source locations,AK2291211   ,VALDEZ ROBE RIVER S/D,32747,WL,Well,C   ,C   ,NA,464,NA,-146.20405495248698,61.09749524813121
54,ADEC SDWIS active PWS source locations,AK2245587   ,"BIRCH RIDGE GOLF COURSE, INC.",32750,WL,Well,NC  ,NC  ,NA,30,NA,-151.00590553670696,60.4985685057941
55,ADEC SDWIS active PWS source locations,AK2263016   ,SWRSD TWIN HILLS SCHOOL,32751,WL,Well,NTNC,Non-transient non-community,NA,38,NA,-160.28010114344698,59.0752401639328
56,ADEC SDWIS active PWS source locations,AK2221410   ,SPENARD BUILDERS SUPPLY  WASILLA,32758,WL,Well,NTNC,Non-transient non-community,NA,63,NA,-149.49331130669103,61.578681680881495
57,ADEC SDWIS active PWS source locations,AK2271148   ,BETHEL TRAILER COURT,32761,WL,Well,C   ,C   ,NA,446,NA,-161.80060204378302,60.7834197650509
58,ADEC SDWIS active PWS source locations,AK2226622   ,LAKE LOUISE LODGE,32770,WL,Well,NC  ,NC  ,NA,29,NA,-146.51378382088495,62.27863213157851
59,ADEC SDWIS active PWS source locations,AK2240618   ,KPBSD TUSTUMENA ELEMENTARY,32771,WL,Well,NTNC,Non-transient non-community,NA,185,NA,-151.26375240619896,60.30818147725399
60,ADEC SDWIS active PWS source locations,AK2211643   ,HANSHEW HEIGHTS S/D,32772,WL,Well,NC  ,NC  ,NA,170,NA,-149.78672298966902,61.13656166124979
61,ADEC SDWIS active PWS source locations,AK2223111   ,SPEEDWAY KGB,32775,WL,Well,NC  ,NC  ,NA,1162,NA,-149.53550328731797,61.55242267563319
62,ADEC SDWIS active PWS source locations,AK2260074   ,SAINT GEORGE WATER SYSTEM,32777,WL,Well,C   ,C   ,NA,65,NA,-169.53552377936896,56.5956390906746
63,ADEC SDWIS active PWS source locations,AK2244989   ,APOSTOLIC ASSEMBLY OF JESUS CHRIST,32786,WL,Well,NC  ,NC  ,NA,70,NA,-150.92031254243506,60.50460151916439
64,ADEC SDWIS active PWS source locations,AK2210354   ,INLET VIEW MHP CHUGIAK,32794,WL,Well,C   ,C   ,NA,47,NA,-149.51442315481697,61.367086690945094
65,ADEC SDWIS active PWS source locations,AK2224743   ,IDITAROD HEADQUARTERS WASILLA,32795,WL,Well,NC  ,NC  ,NA,158,NA,-149.47841329385597,61.5607216844774
66,ADEC SDWIS active PWS source locations,AK2240757   ,SEWARD,32796,WL,Well,C   ,C   ,NA,3324,NA,-149.436652319205,60.13084178163809
67,ADEC SDWIS active PWS source locations,AK2240854   ,GREAT ALASKA ADVENTURES,32797,WL,Well,NC  ,NC  ,NA,25,NA,-150.75855456690596,60.5368065430587
68,ADEC SDWIS active PWS source locations,AK2221680   ,VITUS ENERGY - TRAPPER CREEK,32803,WL,Well,NC  ,NC  ,NA,211,NA,-150.236893854029,62.32584150918639
69,ADEC SDWIS active PWS source locations,AK2292099   ,ALASKA BIBLE COLLEGE,32810,WL,Well,C   ,C   ,NA,50,NA,-145.52975667776198,62.114757304204396
70,ADEC SDWIS active PWS source locations,AK2247694   ,BELUGA RIVER MAN CAMP,32818,WL,Well,NC  ,NC  ,NA,41,NA,-151.066082977174,61.14918945202249
71,ADEC SDWIS active PWS source locations,AK2220260   ,HOLY MOLEY DONUT SHOP,32823,WL,Well,NC  ,NC  ,NA,100,NA,-149.39446431109002,61.5835186968131
72,ADEC SDWIS active PWS source locations,AK2223593   ,SUMMIT WORSHIP CENTER,32828,WL,Well,NC  ,NC  ,NA,204,NA,-149.451463301907,61.57152168821389
73,ADEC SDWIS active PWS source locations,AK2271114   ,TUNDRA WOMENS COALITION,32829,WL,Well,NC  ,NC  ,NA,48,NA,-161.77393405383597,60.7944957681322
74,ADEC SDWIS active PWS source locations,AK2270273   ,MARSHALL WATER SYSTEM,32839,WL,Well,C   ,C   ,NA,308,NA,-162.080332759451,61.875269613451394
75,ADEC SDWIS active PWS source locations,AK2225511   ,WESTWOOD WATER COMPANY INC,32841,WL,Well,C   ,C   ,NA,180,NA,-149.45643334111003,61.62571668393411
76,ADEC SDWIS active PWS source locations,AK2260074   ,SAINT GEORGE WATER SYSTEM,32844,WL,Well,C   ,C   ,NA,65,NA,-169.53363577974193,56.5958530909066
77,ADEC SDWIS active PWS source locations,AK2214007   ,ALYESKA CHALET CONDOS HOA,32848,WL,Well,C   ,C   ,NA,60,NA,-149.153709872382,60.95903477556829
78,ADEC SDWIS active PWS source locations,AK2240202   ,USFS COOPER CREEK #1 SOUTH,32852,WL,Well,NC  ,NC  ,NA,25,NA,-149.88328954441002,60.48271468761139
79,ADEC SDWIS active PWS source locations,AK2218554   ,RABBIT CREEK RIFLE RANGE,32856,WL,Well,NC  ,NC  ,NA,29,NA,-149.83294295114,61.081961657238686
80,ADEC SDWIS active PWS source locations,AK2223145   ,SCOTWOOD ESTATES WATER SYSTEM,32858,WL,Well,C   ,C   ,NA,90,NA,-149.411043343362,61.6282516912355
81,ADEC SDWIS active PWS source locations,AK2210312   ,AK CHILD AND FAMILY,32865,WL,Well,NTNC,Non-transient non-community,NA,100,NA,-149.79398798939,61.136282660083594
82,ADEC SDWIS active PWS source locations,AK2211198   ,ANCHORAGE SANDS APARTMENTS,32866,WL,Well,C   ,C   ,NA,160,NA,-149.91470802687397,61.192011636797005
83,ADEC SDWIS active PWS source locations,AK2223658   ,MSBSD COTTONWOOD CREEK ELEM,32869,WL,Well,NTNC,Non-transient non-community,NA,475,NA,-149.36163531443003,61.58774470193849
84,ADEC SDWIS active PWS source locations,AK2260333   ,SOUTH NAKNEK WATER SYSTEM,32880,WL,Well,C   ,C   ,NA,66,NA,-157.00975118600996,58.712340696364905
85,ADEC SDWIS active PWS source locations,AK2211075   ,OW DIMOND ESTATES TRAILER COURT,32883,WL,Well,C   ,C   ,NA,1395,NA,-149.90521799110698,61.140664641670796
86,ADEC SDWIS active PWS source locations,AK2224256   ,SHORES OF ANCIENT TREE,32884,WL,Well,C   ,C   ,NA,170,NA,-149.356043320541,61.5961217023245
87,ADEC SDWIS active PWS source locations,AK2243103   ,COLLEGE PARK HOME OWNERS ASSOC,32885,WL,Well,C   ,C   ,NA,85,NA,-151.157042524594,60.48509148238809
