row_id,source_dataset,npdes_id,facility_name,city,state,county,permit_status,permit_type,facility_type,total_design_flow,current_snc_status,current_violation,permit_feature_number,state_water_body_name,tribal_spatial_flag,derived_tribes,latitude,longitude,has_tribal_context,has_current_violation
683,EPA ECHO NPDES outfalls/permitted features,AKG571038,WATERFALL CREEK SUBDIVISION SEWER OUTFALLS,KETCHIKAN,AK,KETCHIKAN GATEWAY,Admin Continued,General Permit Covered Facility,County Government,0.017,Effluent - Monthly Average Limit,Yes,002,Clover Passage,N,"Ketchikan Indian Community - 12 mile(s), Organized Village of Saxman - 14 mile(s), Metlakatla Indian Community, Annette Island Reserve - 16 mile(s), Organized Village of Kasaan - 17 mile(s)",55.4897,-131.767,TRUE,TRUE
684,EPA ECHO NPDES outfalls/permitted features,AKR06AE83,SILVER BAY SEAFOODS - CRAIG MSGP,CRAIG,AK,VALDEZ-CORDOVA (CA),Admin Continued,General Permit Covered Facility,Corporation,NA,NA,No,002,Crab Bay,N,Native Village of Tatitlek - 22 mile(s),55.4882779,-133.14152099999998,TRUE,FALSE
685,EPA ECHO NPDES outfalls/permitted features,AKR06AE83,SILVER BAY SEAFOODS - CRAIG MSGP,CRAIG,AK,VALDEZ-CORDOVA (CA),Admin Continued,General Permit Covered Facility,Corporation,NA,NA,No,001,Crab Bay,N,Native Village of Tatitlek - 22 mile(s),55.48778299999999,-133.139941,TRUE,FALSE
686,EPA ECHO NPDES outfalls/permitted features,AKR06AE27,OCEAN DOCK TERMINAL,ANCHORAGE,AK,ANCHORAGE,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,M004,Knik Arm of Cook Inlet,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.229260000000004,-149.891051,TRUE,FALSE
687,EPA ECHO NPDES outfalls/permitted features,AKR06AE27,OCEAN DOCK TERMINAL,ANCHORAGE,AK,ANCHORAGE,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,T003,Knik Arm of Cook Inlet,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.231062,-149.89188700000003,TRUE,FALSE
688,EPA ECHO NPDES outfalls/permitted features,AKR06AE27,OCEAN DOCK TERMINAL,ANCHORAGE,AK,ANCHORAGE,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,M005,Knik Arm of Cook Inlet,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.229804,-149.89078,TRUE,FALSE
689,EPA ECHO NPDES outfalls/permitted features,AKR06AE27,OCEAN DOCK TERMINAL,ANCHORAGE,AK,ANCHORAGE,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,M002,Knik Arm of Cook Inlet,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.230186,-149.89108000000002,TRUE,FALSE
690,EPA ECHO NPDES outfalls/permitted features,AKR06AE27,OCEAN DOCK TERMINAL,ANCHORAGE,AK,ANCHORAGE,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,M001,Knik Arm of Cook Inlet,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.23087,-149.89116900000002,TRUE,FALSE
691,EPA ECHO NPDES outfalls/permitted features,AKR06AE27,OCEAN DOCK TERMINAL,ANCHORAGE,AK,ANCHORAGE,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,T002,Knik Arm of Cook Inlet,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.231357,-149.892954,TRUE,FALSE
692,EPA ECHO NPDES outfalls/permitted features,AKR06AE27,OCEAN DOCK TERMINAL,ANCHORAGE,AK,ANCHORAGE,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,009,Knik Arm of Cook Inlet,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.230031000000004,-149.88949700000003,TRUE,FALSE
