row_id,source_dataset,npdes_id,facility_name,city,state,county,permit_status,permit_type,facility_type,total_design_flow,current_snc_status,current_violation,permit_feature_number,state_water_body_name,tribal_spatial_flag,derived_tribes,latitude,longitude,has_tribal_context,has_current_violation
1,EPA ECHO NPDES outfalls/permitted features,AKG370305,THOMAS DEADWOOD CREEK MINE SITE,CENTRAL,AK,YUKON-KOYUKUK (CA),Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,001,Deadwood Creek,NA,NA,65.5003,-144.866,FALSE,FALSE
2,EPA ECHO NPDES outfalls/permitted features,AKR06AD11,ALASKA GARDEN AND PET SUPPLY INC,ANCHORAGE,AK,ANCHORAGE MUNICIPALITY,Expired,General Permit Covered Facility,Corporation,NA,NA,No,001,Ship Creek,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.2218,-149.85500000000002,TRUE,FALSE
3,EPA ECHO NPDES outfalls/permitted features,AKR06AD11,ALASKA GARDEN AND PET SUPPLY INC,ANCHORAGE,AK,ANCHORAGE MUNICIPALITY,Expired,General Permit Covered Facility,Corporation,NA,NA,No,002,Ship Creek,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.2218,-149.85500000000002,TRUE,FALSE
4,EPA ECHO NPDES outfalls/permitted features,AKR06H00W,SHAKMANOF COVE QUARRY,OUZINKIE,AK,KODIAK ISLAND,Expired,General Permit Covered Facility,Corporation,NA,Failure to Report DMR - Not Received,Yes,001,Shakmanof Cove,N,"Native Village of Ouzinkie - 5 mile(s), Native Village of Afognak - 10 mile(s), Native Village of Port Lions - 11 mile(s), Sun'aq Tribe of Kodiak - 12 mile(s), Tangirnaq Native Village - 15 mile(s)",57.9125479,-152.604976,TRUE,TRUE
5,EPA ECHO NPDES outfalls/permitted features,AKG571047,GENA ROAD COLLECTOR SEWER/OUTFALL,KETCHIKAN GATEWAY BOROUGH,AK,KETCHIKAN GATEWAY,Admin Continued,General Permit Covered Facility,Privately Owned Facility,0.008,Effluent - Monthly Average Limit,Yes,001,Tongass Narrows,N,"Ketchikan Indian Community - 9 mile(s), Organized Village of Saxman - 11 mile(s), Metlakatla Indian Community, Annette Island Reserve - 13 mile(s), Organized Village of Kasaan - 17 mile(s)",55.4278,-131.789,TRUE,TRUE
6,EPA ECHO NPDES outfalls/permitted features,AKG572014,DENALI RIVER CABINS WWTF,DENALI,AK,DENALI,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,001,Nenana River,N,Native Village of Cantwell - 19 mile(s),63.6563,-148.833,TRUE,TRUE
7,EPA ECHO NPDES outfalls/permitted features,AKR06GB56,HOMER SOLID WASTE FACILITY,HOMER,AK,KENAI PENINSULA,Expired,General Permit Covered Facility,County Government,NA,Failure to Report DMR - Not Received,Yes,002,Unnamed Streams,N,"Seldovia Village Tribe - 16 mile(s), Native Village of Port Graham - 23 mile(s), Native Village of Nanwalek (aka English Bay) - 24 mile(s)",59.6632,-151.635,TRUE,TRUE
8,EPA ECHO NPDES outfalls/permitted features,AKR06GB56,HOMER SOLID WASTE FACILITY,HOMER,AK,KENAI PENINSULA,Expired,General Permit Covered Facility,County Government,NA,Failure to Report DMR - Not Received,Yes,003,Unamed wetlands,N,"Seldovia Village Tribe - 16 mile(s), Native Village of Port Graham - 23 mile(s), Native Village of Nanwalek (aka English Bay) - 24 mile(s)",59.6587,-151.64,TRUE,TRUE
9,EPA ECHO NPDES outfalls/permitted features,AKR06GB56,HOMER SOLID WASTE FACILITY,HOMER,AK,KENAI PENINSULA,Expired,General Permit Covered Facility,County Government,NA,Failure to Report DMR - Not Received,Yes,001,Unnamed Streams,N,"Seldovia Village Tribe - 16 mile(s), Native Village of Port Graham - 23 mile(s), Native Village of Nanwalek (aka English Bay) - 24 mile(s)",59.6618,-151.64299999999997,TRUE,TRUE
10,EPA ECHO NPDES outfalls/permitted features,AKG572056,LITTLE DIOMEDE SCHOOL WWTF,DIOMEDE,AK,NOME,Effective,General Permit Covered Facility,School District,NA,Failure to Report DMR - Not Received,Yes,001,NA,N,Native Village of Diomede (aka Inalik) - 2 mile(s),65.7589,-168.95200000000003,TRUE,TRUE
11,EPA ECHO NPDES outfalls/permitted features,AKG371640,JAHRAUS NORTON SOUND SUCTION DREDGE,NOME,AK,NOME (CA),Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,Yes,001,Norton Sound,N,Nome Eskimo Community - 2 mile(s),64.4867,-165.395,TRUE,TRUE
12,EPA ECHO NPDES outfalls/permitted features,AKG371411,DRY CREEK VALLEY NORTON SOUND MEDIUM SUCTION DREDGE,NOME,AK,NOME (CA),Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,Yes,001,Norton Sound,N,"Nome Eskimo Community - 7 mile(s), Village of Solomon - 24 mile(s)",64.466042,-165.20608289999998,TRUE,TRUE
13,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,002,Resurrection Bay,NA,NA,60.121949,-149.43426,FALSE,TRUE
14,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,005,Resurrection Bay,NA,NA,60.088691,-149.349537,FALSE,TRUE
15,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,007,Resurrection Bay,NA,NA,60.124812000000006,-149.43476399999997,FALSE,TRUE
16,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,003,Resurrection Bay,NA,NA,60.12297200000001,-149.433278,FALSE,TRUE
17,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,008,Resurrection Bay,NA,NA,60.12237500000001,-149.434168,FALSE,TRUE
18,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,001,Resurrection Bay,NA,NA,60.122083,-149.433333,FALSE,TRUE
19,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,006,Resurrection Bay,NA,NA,60.0886809,-149.35044390000004,FALSE,TRUE
20,EPA ECHO NPDES outfalls/permitted features,AKR06AA04,SHORESIDE PETROLEUM INC. SEWARD BULK FUEL FACILITY AND MARINE INDUSTRIAL CENTER,SEWARD,AK,KENAI PENINSULA,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,Yes,004,Resurrection Bay,NA,NA,60.123025000000005,-149.43474,FALSE,TRUE
21,EPA ECHO NPDES outfalls/permitted features,AKR06GB52,ALASKA AIRLINES DILLINGHAM STATION,DILLINGHAM,AK,DILLINGHAM (CA),Expired,General Permit Covered Facility,Corporation,NA,NA,No,001,Nushagak River,N,"Curyung Tribal Council - 2 mile(s), Village of Clarks Point - 14 mile(s), Native Village of Aleknagik - 17 mile(s), Native Village of Ekuk - 17 mile(s), Manokotak Village - 21 mile(s)",59.0456,-158.511,TRUE,FALSE
22,EPA ECHO NPDES outfalls/permitted features,AKR06AD24,ALASKA GENERAL SEAFOODS -NAKNEK DIVISION MILE 1.5,NAKNEK,AK,BRISTOL BAY,Expired,General Permit Covered Facility,Corporation,NA,NA,Yes,001,Naknek River,N,"Naknek Native Village - 1 mile(s), South Naknek Village - 2 mile(s), King Salmon Tribe - 13 mile(s)",58.731666999999995,-156.99363,TRUE,TRUE
23,EPA ECHO NPDES outfalls/permitted features,AKR06H02F,"PACIFIC SEAFOOD - KODIAK, LLC - SOK",KODIAK,AK,KODIAK ISLAND,Expired,General Permit Covered Facility,Corporation,NA,NA,No,004,NEAR ISLAND CHANNEL,N,"Sun'aq Tribe of Kodiak - 1 mile(s), Tangirnaq Native Village - 9 mile(s), Native Village of Ouzinkie - 11 mile(s), Native Village of Port Lions - 19 mile(s), Native Village of Afognak - 21 mile(s)",57.786053,-152.406599,TRUE,FALSE
24,EPA ECHO NPDES outfalls/permitted features,AKR06H02F,"PACIFIC SEAFOOD - KODIAK, LLC - SOK",KODIAK,AK,KODIAK ISLAND,Expired,General Permit Covered Facility,Corporation,NA,NA,No,003,NEAR ISLAND CHANNEL,N,"Sun'aq Tribe of Kodiak - 1 mile(s), Tangirnaq Native Village - 9 mile(s), Native Village of Ouzinkie - 11 mile(s), Native Village of Port Lions - 19 mile(s), Native Village of Afognak - 21 mile(s)",57.786030000000004,-152.406878,TRUE,FALSE
25,EPA ECHO NPDES outfalls/permitted features,AKR06H02F,"PACIFIC SEAFOOD - KODIAK, LLC - SOK",KODIAK,AK,KODIAK ISLAND,Expired,General Permit Covered Facility,Corporation,NA,NA,No,006,NEAR ISLAND CHANNEL,N,"Sun'aq Tribe of Kodiak - 1 mile(s), Tangirnaq Native Village - 9 mile(s), Native Village of Ouzinkie - 11 mile(s), Native Village of Port Lions - 19 mile(s), Native Village of Afognak - 21 mile(s)",57.785984,-152.40617,TRUE,FALSE
26,EPA ECHO NPDES outfalls/permitted features,AKR06H02F,"PACIFIC SEAFOOD - KODIAK, LLC - SOK",KODIAK,AK,KODIAK ISLAND,Expired,General Permit Covered Facility,Corporation,NA,NA,No,002,NEAR ISLAND CHANNEL,N,"Sun'aq Tribe of Kodiak - 1 mile(s), Tangirnaq Native Village - 9 mile(s), Native Village of Ouzinkie - 11 mile(s), Native Village of Port Lions - 19 mile(s), Native Village of Afognak - 21 mile(s)",57.786750000000005,-152.40524800000003,TRUE,FALSE
27,EPA ECHO NPDES outfalls/permitted features,AKR06H02F,"PACIFIC SEAFOOD - KODIAK, LLC - SOK",KODIAK,AK,KODIAK ISLAND,Expired,General Permit Covered Facility,Corporation,NA,NA,No,005,NEAR ISLAND CHANNEL,N,"Sun'aq Tribe of Kodiak - 1 mile(s), Tangirnaq Native Village - 9 mile(s), Native Village of Ouzinkie - 11 mile(s), Native Village of Port Lions - 19 mile(s), Native Village of Afognak - 21 mile(s)",57.786066,-152.40646800000002,TRUE,FALSE
28,EPA ECHO NPDES outfalls/permitted features,AKR06H02F,"PACIFIC SEAFOOD - KODIAK, LLC - SOK",KODIAK,AK,KODIAK ISLAND,Expired,General Permit Covered Facility,Corporation,NA,NA,No,007,NEAR ISLAND CHANNEL,N,"Sun'aq Tribe of Kodiak - 1 mile(s), Tangirnaq Native Village - 9 mile(s), Native Village of Ouzinkie - 11 mile(s), Native Village of Port Lions - 19 mile(s), Native Village of Afognak - 21 mile(s)",57.786557,-152.404289,TRUE,FALSE
29,EPA ECHO NPDES outfalls/permitted features,AKR06H02F,"PACIFIC SEAFOOD - KODIAK, LLC - SOK",KODIAK,AK,KODIAK ISLAND,Expired,General Permit Covered Facility,Corporation,NA,NA,No,001,NEAR ISLAND CHANNEL,N,"Sun'aq Tribe of Kodiak - 1 mile(s), Tangirnaq Native Village - 9 mile(s), Native Village of Ouzinkie - 11 mile(s), Native Village of Port Lions - 19 mile(s), Native Village of Afognak - 21 mile(s)",57.787093999999996,-152.40299290000002,TRUE,FALSE
30,EPA ECHO NPDES outfalls/permitted features,AKR06AF98,CAMERON FACILITY,ANCHORAGE,AK,ANCHORAGE MUNICIPALITY,Admin Continued,General Permit Covered Facility,NA,NA,NA,No,001,Campbell Creek,N,Knik Tribe - 21 mile(s),61.16850000000001,-149.873,TRUE,FALSE
31,EPA ECHO NPDES outfalls/permitted features,AKR06AF98,CAMERON FACILITY,ANCHORAGE,AK,ANCHORAGE MUNICIPALITY,Admin Continued,General Permit Covered Facility,NA,NA,NA,No,002,Campbell Creek,N,Knik Tribe - 21 mile(s),61.16830000000001,-149.873,TRUE,FALSE
32,EPA ECHO NPDES outfalls/permitted features,AKG573028,BUCKLAND LAGOON,BUCKLAND,AK,NORTHWEST ARCTIC,Effective,General Permit Covered Facility,Municipality,NA,Failure to Report DMR - Not Received,Yes,001,Buckland River,N,Native Village of Buckland - 2 mile(s),66.6336,-162.024,TRUE,TRUE
33,EPA ECHO NPDES outfalls/permitted features,AKG572022,HOONAH WWTF,HOONAH,AK,HOONAH-ANGOON,Effective,General Permit Covered Facility,Municipality,NA,Failure to Report DMR - Not Received,Yes,001,NA,N,Hoonah Indian Association - 3 mile(s),58.114,-135.459,TRUE,TRUE
34,EPA ECHO NPDES outfalls/permitted features,AKR06AB91,MERLE K MUDHOLE SMITH AIRPORT CORDOVA AK,CORDOVA,AK,VALDEZ-CORDOVA,Admin Continued,General Permit Covered Facility,State Government,NA,NA,Yes,002,Wetlands,N,Native Village of Eyak (Cordova) - 10 mile(s),60.493888999999996,-145.476111,TRUE,TRUE
35,EPA ECHO NPDES outfalls/permitted features,AKR06AB91,MERLE K MUDHOLE SMITH AIRPORT CORDOVA AK,CORDOVA,AK,VALDEZ-CORDOVA,Admin Continued,General Permit Covered Facility,State Government,NA,NA,Yes,004,Elsner Creek,N,Native Village of Eyak (Cordova) - 10 mile(s),60.487221999999996,-145.459722,TRUE,TRUE
36,EPA ECHO NPDES outfalls/permitted features,AKR06AB91,MERLE K MUDHOLE SMITH AIRPORT CORDOVA AK,CORDOVA,AK,VALDEZ-CORDOVA,Admin Continued,General Permit Covered Facility,State Government,NA,NA,Yes,001,wetlands,N,Native Village of Eyak (Cordova) - 10 mile(s),60.4918,-145.47,TRUE,TRUE
37,EPA ECHO NPDES outfalls/permitted features,AKR06AB91,MERLE K MUDHOLE SMITH AIRPORT CORDOVA AK,CORDOVA,AK,VALDEZ-CORDOVA,Admin Continued,General Permit Covered Facility,State Government,NA,NA,Yes,003,Wetlands,N,Native Village of Eyak (Cordova) - 10 mile(s),60.491803,-145.48222200000004,TRUE,TRUE
38,EPA ECHO NPDES outfalls/permitted features,AKG572139,CLAA CHICKAMIN BARGE,JUNEAU,AK,JUNEAU CITY AND BOROUGH,Effective,General Permit Covered Facility,Corporation,NA,Effluent - Monthly Average Limit,Yes,001,Gastineau Channel,N,"Central Council of the Tlingit & Haida Indian Tribes - 1 mile(s), Douglas Indian Association - 2 mile(s)",58.2892,-134.39790000000002,TRUE,TRUE
39,EPA ECHO NPDES outfalls/permitted features,AKG370D75,ALASKA PROPERTIES & INVESTMENTS BEAR & DAVIS CREEK MINE SITE,BETTLES,AK,YUKON-KOYUKUK (CA),Admin Continued,General Permit Covered Facility,Corporation,NA,NA,No,001,SF Koyukuk River & Tributaries,NA,NA,66.99564000000001,-150.47465999999997,FALSE,FALSE
40,EPA ECHO NPDES outfalls/permitted features,AKR06AA98,ALASKA WASTE ANCHORAGE,ANCHORAGE,AK,ANCHORAGE MUNICIPALITY,Expired,General Permit Covered Facility,Corporation,NA,NA,No,001,Campbell Creek,N,Knik Tribe - 21 mile(s),61.16330000000001,-149.859,TRUE,FALSE
41,EPA ECHO NPDES outfalls/permitted features,AKR06AA98,ALASKA WASTE ANCHORAGE,ANCHORAGE,AK,ANCHORAGE MUNICIPALITY,Expired,General Permit Covered Facility,Corporation,NA,NA,No,003,Campbell Creek,N,Knik Tribe - 21 mile(s),61.162800000000004,-149.86100000000002,TRUE,FALSE
42,EPA ECHO NPDES outfalls/permitted features,AKR06AA98,ALASKA WASTE ANCHORAGE,ANCHORAGE,AK,ANCHORAGE MUNICIPALITY,Expired,General Permit Covered Facility,Corporation,NA,NA,No,002,Campbell Creek,N,Knik Tribe - 21 mile(s),61.164,-149.86100000000002,TRUE,FALSE
43,EPA ECHO NPDES outfalls/permitted features,AKG370D97,INDMINE GOLD CREEK MINE SITE,VALDEZ,AK,VALDEZ-CORDOVA CENSUS AREA,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,017,Gold Creek,N,Native Village of Tatitlek - 20 mile(s),61.132675000000006,-146.470698,TRUE,FALSE
44,EPA ECHO NPDES outfalls/permitted features,AKG370540,JACOBS EVA CREEK MINE SITE,HEALY,AK,DENALI BOROUGH,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,Yes,001,Eva Creek,NA,NA,64.04860000000001,-148.82800000000003,FALSE,TRUE
45,EPA ECHO NPDES outfalls/permitted features,AKR06GC71,UNALAKLEET AIRPORT_2,UNALAKLEET,AK,NOME (CA),Admin Continued,General Permit Covered Facility,State Government,NA,NA,No,002,Kouwegok Slough,N,Native Village of Unalakleet - 1 mile(s),63.8835,-160.796,TRUE,FALSE
46,EPA ECHO NPDES outfalls/permitted features,AKR06GC71,UNALAKLEET AIRPORT_2,UNALAKLEET,AK,NOME (CA),Admin Continued,General Permit Covered Facility,State Government,NA,NA,No,001,Norton Sound,N,Native Village of Unalakleet - 1 mile(s),63.88179999999999,-160.797,TRUE,FALSE
47,EPA ECHO NPDES outfalls/permitted features,AK0045675,KETCHIKAN SHIPYARD,KETCHIKAN,AK,KETCHIKAN GATEWAY BOROUGH,Admin Continued,NPDES Individual Permit,Privately Owned Facility,NA,NA,Yes,001,Tongass Narrows,N,"Ketchikan Indian Community - 3 mile(s), Organized Village of Saxman - 5 mile(s), Metlakatla Indian Community, Annette Island Reserve - 7 mile(s), Organized Village of Kasaan - 21 mile(s)",55.3555,-131.7,TRUE,TRUE
48,EPA ECHO NPDES outfalls/permitted features,AK0045675,KETCHIKAN SHIPYARD,KETCHIKAN,AK,KETCHIKAN GATEWAY BOROUGH,Admin Continued,NPDES Individual Permit,Privately Owned Facility,NA,NA,Yes,002,Tongass Narrows,N,"Ketchikan Indian Community - 3 mile(s), Organized Village of Saxman - 5 mile(s), Metlakatla Indian Community, Annette Island Reserve - 7 mile(s), Organized Village of Kasaan - 21 mile(s)",55.356399999999994,-131.701,TRUE,TRUE
49,EPA ECHO NPDES outfalls/permitted features,AK0045675,KETCHIKAN SHIPYARD,KETCHIKAN,AK,KETCHIKAN GATEWAY BOROUGH,Admin Continued,NPDES Individual Permit,Privately Owned Facility,NA,NA,Yes,003,Tongass Narrows,N,"Ketchikan Indian Community - 3 mile(s), Organized Village of Saxman - 5 mile(s), Metlakatla Indian Community, Annette Island Reserve - 7 mile(s), Organized Village of Kasaan - 21 mile(s)",55.356399999999994,-131.701,TRUE,TRUE
50,EPA ECHO NPDES outfalls/permitted features,AKG370D7S,GAVORA FAIRBANKS CREEK MINE SITE,FAIRBANKS,AK,FAIRBANKS NORTH STAR,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,Yes,002,Fairbanks Creek Drainage,NA,NA,65.06160000000001,-147.15220000000002,FALSE,TRUE
51,EPA ECHO NPDES outfalls/permitted features,AKG370D90,MONEY PIT MINING LOWER RUBY CREEK MINE SITE,TRAPPER CREEK,AK,MATANUSKA-SUSITNA,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,001,Lower Ruby & Cache Creeks,NA,NA,62.438500000000005,-151.05140000000003,FALSE,FALSE
52,EPA ECHO NPDES outfalls/permitted features,AKG371710,DELAO NORTON SOUND SUCTION DREDGE,NOME,AK,NOME (CA),Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,001,Norton Sound,N,Nome Eskimo Community - 1 mile(s),64.49058000000001,-165.36574600000003,TRUE,FALSE
53,EPA ECHO NPDES outfalls/permitted features,AKR10H12Q,COLD BAY FIBER TO THE HOME PROJECT,COLD BAY,AK,Aleutians East,Effective,General Permit Covered Facility,"Mixed Ownership (e.g., Public/Private)",NA,NA,No,002,NA,NA,NA,55.194759000000005,-162.697656,FALSE,FALSE
54,EPA ECHO NPDES outfalls/permitted features,AKR10H12Q,COLD BAY FIBER TO THE HOME PROJECT,COLD BAY,AK,Aleutians East,Effective,General Permit Covered Facility,"Mixed Ownership (e.g., Public/Private)",NA,NA,No,001,NA,NA,NA,55.227546000000004,-162.73383399999997,FALSE,FALSE
55,EPA ECHO NPDES outfalls/permitted features,AKR10H12Q,COLD BAY FIBER TO THE HOME PROJECT,COLD BAY,AK,Aleutians East,Effective,General Permit Covered Facility,"Mixed Ownership (e.g., Public/Private)",NA,NA,No,004,NA,NA,NA,55.194465,-162.69654,FALSE,FALSE
56,EPA ECHO NPDES outfalls/permitted features,AKR10H12Q,COLD BAY FIBER TO THE HOME PROJECT,COLD BAY,AK,Aleutians East,Effective,General Permit Covered Facility,"Mixed Ownership (e.g., Public/Private)",NA,NA,No,005,NA,NA,NA,55.22714200000001,-162.73411299999998,FALSE,FALSE
57,EPA ECHO NPDES outfalls/permitted features,AKR10H12Q,COLD BAY FIBER TO THE HOME PROJECT,COLD BAY,AK,Aleutians East,Effective,General Permit Covered Facility,"Mixed Ownership (e.g., Public/Private)",NA,NA,No,003,NA,NA,NA,55.227838000000006,-162.734806,FALSE,FALSE
58,EPA ECHO NPDES outfalls/permitted features,AKG370D50,NYAC DRY CREEK MINE SITE,ANIAK,AK,BETHEL (CA),Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,Yes,001,Dry Creek & Lower Tuluksak River,NA,NA,60.9571,-160.084,FALSE,TRUE
59,EPA ECHO NPDES outfalls/permitted features,AKG320006,GLACIER OIL AND GAS CORP PIPELINE OPS,ANCHORAGE,AK,KENAI PENINSULA,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,004L,NA,N,"Salamatof Tribe - 16 mile(s), Kenaitze Indian Tribe - 19 mile(s)",60.717222,-151.74166699999998,TRUE,TRUE
60,EPA ECHO NPDES outfalls/permitted features,AKG521060,SILVER BAY SEAFOODS KETCHIKAN PLANT,KETCHIKAN,AK,KETCHIKAN GATEWAY,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,001,Tongass Narrows,N,"Ketchikan Indian Community - 1 mile(s), Organized Village of Saxman - 3 mile(s), Metlakatla Indian Community, Annette Island Reserve - 4 mile(s), Organized Village of Kasaan - 24 mile(s)",55.3367,-131.638,TRUE,TRUE
61,EPA ECHO NPDES outfalls/permitted features,AKG521060,SILVER BAY SEAFOODS KETCHIKAN PLANT,KETCHIKAN,AK,KETCHIKAN GATEWAY,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,002,NA,N,"Ketchikan Indian Community - 1 mile(s), Organized Village of Saxman - 3 mile(s), Metlakatla Indian Community, Annette Island Reserve - 4 mile(s), Organized Village of Kasaan - 24 mile(s)",55.3367,-131.638,TRUE,TRUE
62,EPA ECHO NPDES outfalls/permitted features,AKG320006,GLACIER OIL AND GAS CORP PIPELINE OPS,ANCHORAGE,AK,KENAI PENINSULA,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,004D,NA,N,"Salamatof Tribe - 16 mile(s), Kenaitze Indian Tribe - 19 mile(s)",60.781559,-151.7525509,TRUE,TRUE
63,EPA ECHO NPDES outfalls/permitted features,AKG320006,GLACIER OIL AND GAS CORP PIPELINE OPS,ANCHORAGE,AK,KENAI PENINSULA,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,004J,NA,N,"Salamatof Tribe - 16 mile(s), Kenaitze Indian Tribe - 19 mile(s)",60.72222200000001,-151.752778,TRUE,TRUE
64,EPA ECHO NPDES outfalls/permitted features,AKG320006,GLACIER OIL AND GAS CORP PIPELINE OPS,ANCHORAGE,AK,KENAI PENINSULA,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,004N,NA,N,"Salamatof Tribe - 16 mile(s), Kenaitze Indian Tribe - 19 mile(s)",60.7166669,-151.71749999999997,TRUE,TRUE
65,EPA ECHO NPDES outfalls/permitted features,AKG320006,GLACIER OIL AND GAS CORP PIPELINE OPS,ANCHORAGE,AK,KENAI PENINSULA,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,004O,NA,N,"Salamatof Tribe - 16 mile(s), Kenaitze Indian Tribe - 19 mile(s)",60.715278000000005,-151.714444,TRUE,TRUE
66,EPA ECHO NPDES outfalls/permitted features,AKG320006,GLACIER OIL AND GAS CORP PIPELINE OPS,ANCHORAGE,AK,KENAI PENINSULA,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,004T,NA,N,"Salamatof Tribe - 16 mile(s), Kenaitze Indian Tribe - 19 mile(s)",60.780211,-151.754697,TRUE,TRUE
67,EPA ECHO NPDES outfalls/permitted features,AKG320006,GLACIER OIL AND GAS CORP PIPELINE OPS,ANCHORAGE,AK,KENAI PENINSULA,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,004C,NA,N,"Salamatof Tribe - 16 mile(s), Kenaitze Indian Tribe - 19 mile(s)",60.777611,-151.751001,TRUE,TRUE
68,EPA ECHO NPDES outfalls/permitted features,AKG320006,GLACIER OIL AND GAS CORP PIPELINE OPS,ANCHORAGE,AK,KENAI PENINSULA,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,004F,NA,N,"Salamatof Tribe - 16 mile(s), Kenaitze Indian Tribe - 19 mile(s)",60.783570000000005,-151.7527539,TRUE,TRUE
69,EPA ECHO NPDES outfalls/permitted features,AKG320006,GLACIER OIL AND GAS CORP PIPELINE OPS,ANCHORAGE,AK,KENAI PENINSULA,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,004H,NA,N,"Salamatof Tribe - 16 mile(s), Kenaitze Indian Tribe - 19 mile(s)",60.791346000000004,-151.766868,TRUE,TRUE
70,EPA ECHO NPDES outfalls/permitted features,AKG320006,GLACIER OIL AND GAS CORP PIPELINE OPS,ANCHORAGE,AK,KENAI PENINSULA,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,004K,NA,N,"Salamatof Tribe - 16 mile(s), Kenaitze Indian Tribe - 19 mile(s)",60.719443999999996,-151.75111090000001,TRUE,TRUE
71,EPA ECHO NPDES outfalls/permitted features,AKG320006,GLACIER OIL AND GAS CORP PIPELINE OPS,ANCHORAGE,AK,KENAI PENINSULA,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,004M,NA,N,"Salamatof Tribe - 16 mile(s), Kenaitze Indian Tribe - 19 mile(s)",60.716944,-151.725,TRUE,TRUE
72,EPA ECHO NPDES outfalls/permitted features,AKG320006,GLACIER OIL AND GAS CORP PIPELINE OPS,ANCHORAGE,AK,KENAI PENINSULA,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,004P,NA,N,"Salamatof Tribe - 16 mile(s), Kenaitze Indian Tribe - 19 mile(s)",60.716389,-151.72833300000002,TRUE,TRUE
73,EPA ECHO NPDES outfalls/permitted features,AKG320006,GLACIER OIL AND GAS CORP PIPELINE OPS,ANCHORAGE,AK,KENAI PENINSULA,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,004S,NA,N,"Salamatof Tribe - 16 mile(s), Kenaitze Indian Tribe - 19 mile(s)",60.7166669,-151.71749999999997,TRUE,TRUE
